                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.49786,                0.42577,                0.89984,                0.96448,                0.98503,                0.99028,                0.91364,                0.42964,                0.29664,                0.79689,               0.006535,               0.006535,               0.006535
                     37,                0.48981,                0.40164,                0.89346,                0.98445,                0.99762,                  0.995,                0.91368,                0.43697,                0.26712,                0.79918,               0.006436,               0.006436,               0.006436
                     38,                0.49338,                0.41237,                0.89773,                 0.9703,                0.98833,                0.99406,                0.91626,                0.43185,                0.27747,                0.79395,               0.006337,               0.006337,               0.006337
                     39,                0.47848,                0.39242,                0.89079,                0.96392,                0.98219,                0.99259,                 0.9193,                0.41853,                0.27577,                0.79004,               0.006238,               0.006238,               0.006238
                     40,                0.48542,                0.40328,                0.89029,                 0.9687,                0.98783,                0.99416,                0.91613,                0.43047,                0.27075,                0.79694,               0.006139,               0.006139,               0.006139
                     41,                0.47304,                0.37716,                0.88941,                 0.9724,                0.97026,                0.99179,                0.91969,                0.41334,                0.28064,                0.78887,                0.00604,                0.00604,                0.00604
                     42,                0.47182,                0.37291,                0.88599,                0.98874,                0.99014,                0.99493,                0.91745,                0.42019,                0.24285,                0.79373,               0.005941,               0.005941,               0.005941
                     43,                0.47223,                0.37961,                0.88783,                0.98008,                0.98675,                0.99405,                 0.9127,                0.42968,                  0.256,                 0.7953,               0.005842,               0.005842,               0.005842
                     44,                0.48032,                0.39911,                0.88738,                0.97933,                0.99601,                0.99163,                0.91992,                  0.416,                0.25891,                0.79354,               0.005743,               0.005743,               0.005743
                     45,                0.46048,                0.36543,                 0.8849,                 0.9836,                0.98938,                0.99042,                 0.9119,                0.42192,                0.26283,                0.79781,               0.005644,               0.005644,               0.005644
                     46,                0.46819,                0.37054,                0.88767,                0.97867,                0.98089,                0.99071,                0.92032,                0.41731,                0.28036,                0.78915,               0.005545,               0.005545,               0.005545
                     47,                0.45364,                  0.356,                0.87997,                0.98194,                0.97793,                  0.995,                0.91711,                0.43686,                0.25998,                  0.795,               0.005446,               0.005446,               0.005446
                     48,                0.45507,                0.36893,                0.88435,                0.96404,                0.98584,                0.98994,                0.90931,                0.43013,                0.27822,                0.79596,               0.005347,               0.005347,               0.005347
                     49,                0.44961,                0.35817,                0.88501,                0.96523,                0.98044,                0.99342,                0.91698,                0.41902,                0.26633,                0.79231,               0.005248,               0.005248,               0.005248
                     50,                0.45003,                0.36378,                0.88731,                0.98646,                0.97846,                0.99469,                0.91546,                0.41832,                0.25396,                0.78792,               0.005149,               0.005149,               0.005149
                     51,                0.45111,                0.35657,                0.88303,                0.98351,                0.99297,                 0.9944,                 0.9161,                0.42411,                 0.2377,                0.79072,                0.00505,                0.00505,                0.00505
                     52,                0.44099,                 0.3483,                 0.8762,                0.97201,                0.99734,                0.99376,                0.91622,                0.42258,                0.23202,                0.78977,               0.004951,               0.004951,               0.004951
                     53,                0.44894,                0.34658,                0.88084,                0.98099,                0.97743,                0.98979,                0.90808,                0.42109,                0.26859,                0.79067,               0.004852,               0.004852,               0.004852
                     54,                0.43292,                0.34083,                0.87685,                0.97479,                0.98791,                0.99377,                0.91546,                0.41498,                0.24614,                0.78732,               0.004753,               0.004753,               0.004753
                     55,                 0.4421,                0.33709,                0.87826,                0.98021,                0.98136,                0.99373,                0.92066,                0.42451,                0.25465,                0.79055,               0.004654,               0.004654,               0.004654
                     56,                0.43736,                0.34994,                0.87962,                0.99289,                0.98188,                0.99456,                 0.9165,                0.42634,                0.23316,                0.78827,               0.004555,               0.004555,               0.004555
